#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  3.09  9.88  9.28 269 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  2.89 14.29  9.10 265 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  3.15 11.11  9.13 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  2.87 11.76  9.09 271 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  2.69 14.29  8.73 275 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  2.79 13.33  9.17 273 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  2.47 15.38  8.40 268 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  2.48 13.33  8.50 269 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  2.50 15.38  8.72 268 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  2.57 14.29  8.88 269 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  2.30 13.33  8.19 264 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  2.46 14.29  8.84 269 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  2.34 15.38  8.92 271 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  2.39 12.50  8.99 265 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  2.39 15.38  8.93 266 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  2.56 13.33  9.33 276 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  2.74 13.33  9.47 272 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  2.57 13.33  9.37 269 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  2.91 12.50 10.09 271 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  2.70 11.11  9.49 262 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  2.46 14.29  9.59 269 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  2.69 12.50  9.93 275 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  2.68 11.76  9.68 266 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  2.82 11.76  9.93 275 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  3.07 13.33 10.21 271 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  2.49 12.50  9.71 275 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  2.70 11.11  9.62 269 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  2.63 12.50  9.66 266 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  2.83 14.29 10.16 268 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  2.39 15.38  9.26 268 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  2.40 13.33  9.47 262 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  2.46 14.29  9.52 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  2.27 15.38  9.29 266 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  2.30 13.33  9.44 271 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  2.34 14.29  9.81 264 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  2.24 15.38  9.14 264 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  2.49 14.29  9.73 265 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  2.26 15.38  9.83 268 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  2.38 15.38  9.91 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  2.21 15.38  9.82 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  2.09 14.29  9.31 264 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  2.39 15.38  9.93 268 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  2.10 14.29  9.77 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  2.21 14.29 10.07 269 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  2.05 14.29  9.18 275 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  1.84 13.33  8.93 272 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  2.13 13.33  9.81 271 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  1.96 14.29  8.73 269 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  1.94 13.33  8.62 275 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  1.92 13.33  8.57 278 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  1.86 13.33  8.65 268 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 01 56 999 99.0 99.0  1.77 14.29  9.06 258 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  1.89 12.50  9.50 271 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  1.73 11.76  9.28 276 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  1.90 11.76  9.81 273 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  1.72 14.29  9.34 275 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  1.86 11.76  9.51 271 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  1.82 11.76  9.58 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  1.95 11.76  9.71 262 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  1.87 14.29  9.63 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  1.99 14.29 10.15 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  1.91 14.29  9.92 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  1.97 15.38  9.25 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  1.79 14.29  8.99 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  1.66 13.33  8.89 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  1.94 15.38  9.80 273 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  1.87 14.29  9.60 272 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 10 26 999 99.0 99.0  1.70 15.38  8.93 272 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 10 56 999 99.0 99.0  1.63 15.38  8.73 278 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 11 26 999 99.0 99.0  1.96 14.29  9.64 269 9999.0 999.0   8.5 999.0 99.0 99.00
