type,region,year_for_seasonal_metrics,season,mean_log_plus_constant_biomass,mean_lat,mean_lon,log_plus_constant_biomass_z,mean_biomass_untransformed,mean_biomass_untransformed_z,,,,,,,,,,,,,
crab,NWA,2014,Fall,-5.201842872,48.58214313529041,-122.8084777,-0.636186813,0.005406407,-0.492133705,,,,,,,,,,,,,
crab,NWA,2014,Spring,-1.96621344,48.58214313529041,-122.8084777,-0.968432933,0.13988591900743458,-0.875440608,,,,,,,,,,,,,
crab,NWA,2014,Summer,-1.861936581,48.58214313529041,-122.8084777,-0.481850484,0.15527144945450663,-0.561357526,,,,,,,,,,,,,
crab,NWA,2015,Fall,-2.426749688,48.58214313529041,-122.8084777,2.078075695407815,0.088223445,2.7747707294892408,,,,,,,,,,,,,
crab,NWA,2015,Spring,-0.201777463,48.58214313529041,-122.8084777,1.5057431232738208,0.8171767816721263,1.994221806893217,,,,,,,,,,,,,
crab,NWA,2015,Summer,-1.648287386,48.58214313529041,-122.8084777,0.007446383,0.19227909786596728,-0.176624046,,,,,,,,,,,,,
crab,NWA,2016,Fall,-5.039209106,48.58214313529041,-122.8084777,-0.477118016,0.00637887,-0.453772716,,,,,,,,,,,,,
crab,NWA,2016,Spring,-0.872388155,48.58214313529041,-122.8084777,0.565380912,0.41785222183501336,0.3022948312914494,,,,,,,,,,,,,
crab,NWA,2016,Summer,-1.190916141,48.58214313529041,-122.8084777,1.0549126118952818,0.3038426819944189,0.9831969017831012,,,,,,,,,,,,,
crab,NWA,2017,Fall,-3.830154422,48.58214313529041,-122.8084777,0.7054339128100608,0.021606263,0.1469060717326964,,,,,,,,,,,,,
crab,NWA,2017,Spring,-0.40556046,48.58214313529041,-122.8084777,1.2199889117768823,0.6665031016670887,1.3558216448353189,,,,,,,,,,,,,
crab,NWA,2017,Summer,-0.892460738,48.58214313529041,-122.8084777,1.7384316557498678,0.40954647865638133,2.082099188127117,,,,,,,,,,,,,
crab,NWA,2018,Fall,-4.368694278,48.58214313529041,-122.8084777,0.17869897286672318,0.012567770354262217,-0.209637629,,,,,,,,,,,,,
crab,NWA,2018,Spring,-1.085669485,48.58214313529041,-122.8084777,0.2663076865046741,0.3375756415796026,-0.037834791,,,,,,,,,,,,,
crab,NWA,2018,Summer,-1.6760362,48.58214313529041,-122.8084777,-0.056103624,0.1870141912881616,-0.231358295,,,,,,,,,,,,,
crab,NWA,2018,Winter,-4.624554225,48.58214313529041,-122.8084777,0.7998200978506281,0.009708026,0.20097864448287053,,,,,,,,,,,,,
crab,NWA,2019,Fall,-6.342925064,48.58214313529041,-122.8084777,-1.752256224,0.001659149,-0.639952745,,,,,,,,,,,,,
crab,NWA,2019,Spring,-1.135450968,48.58214313529041,-122.8084777,0.19650172210909528,0.3211772028532648,-0.107314516,,,,,,,,,,,,,
crab,NWA,2019,Summer,-2.227300947,48.58214313529041,-122.8084777,-1.318603647,0.10771904706848712,-1.055714827,,,,,,,,,,,,,
crab,NWA,2019,Winter,-5.930610361,48.58214313529041,-122.8084777,0.038381611382622444,0.00255686,-0.42241653,,,,,,,,,,,,,
crab,NWA,2020,Fall,-4.373058471,48.58214313529041,-122.8084777,0.17443044409450906,0.012512606,-0.211813702,,,,,,,,,,,,,
crab,NWA,2020,Spring,-1.122297976,48.58214313529041,-122.8084777,0.21494547379932014,0.32543087239869606,-0.089291838,,,,,,,,,,,,,
crab,NWA,2020,Summer,-2.245519263,48.58214313529041,-122.8084777,-1.360327019,0.10577255038692436,-1.07595071,,,,,,,,,,,,,
crab,NWA,2020,Winter,-3.43441422,48.58214313529041,-122.8084777,1.4936787912218863,0.032144293,2.156835848963454,,,,,,,,,,,,,
crab,NWA,2021,Fall,-4.26312438,48.58214313529041,-122.8084777,0.28195475501023093,0.013978247826722015,-0.153998171,,,,,,,,,,,,,
crab,NWA,2021,Spring,-1.537029944,48.58214313529041,-122.8084777,-0.36661142,0.21491877185773883,-0.557528512,,,,,,,,,,,,,
crab,NWA,2021,Summer,-1.237785372,48.58214313529041,-122.8084777,0.9475732537542364,0.2899258066259745,0.8385163260223675,,,,,,,,,,,,,
crab,NWA,2021,Winter,-5.06574309,48.58214313529041,-122.8084777,0.5426043682744535,0.006209221,-0.104025922,,,,,,,,,,,,,
crab,NWA,2022,Fall,-5.14624611,48.58214313529041,-122.8084777,-0.581808745,0.005721216,-0.479715375,,,,,,,,,,,,,
crab,NWA,2022,Spring,-1.973840625,48.58214313529041,-122.8084777,-0.979128135,0.13882228189771484,-0.879947209,,,,,,,,,,,,,
crab,NWA,2022,Summer,-1.756455326,48.58214313529041,-122.8084777,-0.240278559,0.17255578885624745,-0.381668615,,,,,,,,,,,,,
crab,NWA,2022,Winter,-7.976213529,48.58214313529041,-122.8084777,-1.154217188,2.4353775880199053e-4,-0.624077875,,,,,,,,,,,,,
crab,NWA,2023,Fall,-4.52197723,48.58214313529041,-122.8084777,0.028776018649292724,0.010767514836078063,-0.280652759,,,,,,,,,,,,,
crab,NWA,2023,Spring,-2.455615186,48.58214313529041,-122.8084777,-1.654695342,0.08571039,-1.104980808,,,,,,,,,,,,,
crab,NWA,2023,Summer,-1.778690185,48.58214313529041,-122.8084777,-0.291200571,0.16875917668762894,-0.421138397,,,,,,,,,,,,,
crab,NWA,2023,Winter,-7.294190705,48.58214313529041,-122.8084777,-0.756593831,5.794746000946694e-4,-0.594792945,,,,,,,,,,,,,
crab,NWA,2024,Winter,-7.649384374,48.58214313529041,-122.8084777,-0.96367385,3.763372841952268e-4,-0.612501221,,,,,,,,,,,,,
crab,PS,2014,Fall,-5.020875995,47.723101100139935,-122.5354037,0.7498547399567527,0.006498744,0.6498926148074363,,,,,,,,,,,,,
crab,PS,2014,Spring,-0.740465456,47.723101100139935,-122.5354037,0.96132956,0.47679189155460094,1.5170689727411595,,,,,,,,,,,,,
crab,PS,2014,Summer,-1.09885738,47.723101100139935,-122.5354037,0.6971547812376856,0.33315164608791237,0.634804861,,,,,,,,,,,,,
crab,PS,2015,Fall,-5.266187095,47.723101100139935,-122.5354037,0.27824891563607845,0.00506326,0.062729109,,,,,,,,,,,,,
crab,PS,2015,Spring,-0.832898229,47.723101100139935,-122.5354037,0.8185233611198003,0.43468734535477027,1.1711452172501102,,,,,,,,,,,,,
crab,PS,2015,Summer,-1.056173713,47.723101100139935,-122.5354037,0.7843746881657943,0.3476839890965581,0.7633297454519893,,,,,,,,,,,,,
crab,PS,2015,Winter,-5.226189482,47.723101100139935,-122.5354037,0.8535530049296208,0.005273964,0.9016143541666998,,,,,,,,,,,,,
crab,PS,2016,Fall,-4.944812015,47.723101100139935,-122.5354037,0.8960862647901761,0.007020253,0.8632083555355774,,,,,,,,,,,,,
crab,PS,2016,Spring,-1.457141026,47.723101100139935,-122.5354037,-0.145915318,0.23280118226732915,-0.487516994,,,,,,,,,,,,,
crab,PS,2016,Summer,-1.598047346,47.723101100139935,-122.5354037,-0.322891172,0.20219113724613422,-0.523417475,,,,,,,,,,,,,
crab,PS,2016,Winter,-6.242805697,47.723101100139935,-122.5354037,-0.673201319,0.001844392,-0.854826341,,,,,,,,,,,,,
crab,PS,2017,Fall,-5.211801777,47.723101100139935,-122.5354037,0.38280363395413036,0.005351842,0.18076922888317287,,,,,,,,,,,,,
crab,PS,2017,Spring,-1.290659629,47.723101100139935,-122.5354037,0.11129405412644029,0.27498926625762227,-0.140906907,,,,,,,,,,,,,
crab,PS,2017,Summer,-0.799911738,47.723101100139935,-122.5354037,1.3080210123739981,0.44926862452112915,1.6617501531434473,,,,,,,,,,,,,
crab,PS,2017,Winter,-4.998842517,47.723101100139935,-122.5354037,1.1949826962114563,0.006645751,1.6041691576672539,,,,,,,,,,,,,
crab,PS,2018,Fall,-4.611258417,47.723101100139935,-122.5354037,1.5373365786639634,0.009839303,2.0162992395203854,,,,,,,,,,,,,
crab,PS,2018,Spring,-1.362855788,47.723101100139935,-122.5354037,-2.47E-04,0.2558288538800177,-0.29832558,,,,,,,,,,,,,
